dataset,task,variant,seed,source_kind,source_priority,source_path,accuracy,micro_f1,macro_f1,weighted_f1,roc_auc,average_precision,log_loss,mrr,rmse,mae,r2
rel-salt,sales-group,dfs,44,task_root,0,results/rel-salt_sales-group_catboost/dfs/seed44/metrics.csv,0.0775193798449612,0.0775193798449612,0.0019129858372315,0.0133542689234243,,,5.427295854087336,0.121217770416273,,,
rel-salt,sales-group,fdhg,41,task_root,0,results/rel-salt_sales-group_catboost/fdhg_dmax1/seed41/metrics.csv,0.0806201550387596,0.0806201550387596,0.0031465568536128,0.0177520891951766,,,5.389755818419031,0.1259856483198856,,,
rel-salt,sales-group,fdhg,42,task_root,0,results/rel-salt_sales-group_catboost/fdhg_dmax1/seed42/metrics.csv,0.0806201550387596,0.0806201550387596,0.0031465568536128,0.0177520891951766,,,5.38978226815098,0.1261031192744839,,,
rel-salt,sales-group,fdhg,43,task_root,0,results/rel-salt_sales-group_catboost/fdhg_dmax1/seed43/metrics.csv,0.0806201550387596,0.0806201550387596,0.0031465568536128,0.0177520891951766,,,5.389761970913097,0.125984444892736,,,
rel-salt,sales-group,fdhg,44,task_root,0,results/rel-salt_sales-group_catboost/fdhg_dmax1/seed44/metrics.csv,0.0806201550387596,0.0806201550387596,0.0031465568536128,0.0177520891951766,,,5.389743737190819,0.1259639582662861,,,
rel-salt,sales-incoterms,dfs,41,task_root,0,results/rel-salt_sales-incoterms_tabpfn/dfs/seed41/metrics.csv,0.592,0.592,0.0743718592964824,0.4402814070351759,,,1.4320511325237126,0.7241908730158729,,,
rel-salt,sales-incoterms,dfs,42,task_root,0,results/rel-salt_sales-incoterms_tabpfn/dfs/seed42/metrics.csv,0.592,0.592,0.0743718592964824,0.4402814070351759,,,1.432023215014632,0.7241908730158729,,,
rel-salt,sales-incoterms,dfs,43,task_root,0,results/rel-salt_sales-incoterms_tabpfn/dfs/seed43/metrics.csv,0.592,0.592,0.0743718592964824,0.4402814070351759,,,1.4321370193857688,0.7241908730158729,,,
rel-salt,sales-incoterms,dfs,44,task_root,0,results/rel-salt_sales-incoterms_tabpfn/dfs/seed44/metrics.csv,0.592,0.592,0.0743718592964824,0.4402814070351759,,,1.4321324679238914,0.7241908730158729,,,
rel-salt,sales-incoterms,fdhg,41,task_root,0,results/rel-salt_sales-incoterms_tabpfn/fdhg_dmax1/seed41/metrics.csv,0.597,0.597,0.0937962777666599,0.4542553532119271,,,1.4101963883097244,0.7279649531024531,,,
